Group,Ideology,Website
Werewolf 88,Hate Music & Neo-Nazi,https://sites.google.com/site/werwolfeightyeight
United Dixie White Knights,KKK,https://sites.google.com/site/uniteddixiewhiteknights/home
Christian American White Knights,KKK,https://sites.google.com/site/americanchristianwhiteknights/
Shotgun Barrel Straight,Neo-Confederate,https://shotgunwildatheart.wordpress.com/
The Right Stuff Radio,Neo-Confederate,https://radio.therightstuff.biz/
Nuclear War Now Productions,Hate Music & Neo-Nazi,https://nuclearwarnowproductions.bandcamp.com/
National Socialist Freedom Movement,Hate Music & Neo-Nazi,https://nsfm.sharepoint.com/Pages/default.aspx
Nation of Islam,Black Nationalist,https://noimm74.wordpress.com/
National Alliance,Hate Music & Neo-Nazi,https://natall.com/
Nation of Islam,Black Nationalist,https://muhammadmosque7c.org/
Keystone United/Keystone State Skinheads,Hate Music & Neo-Nazi,https://keystone2001united.wordpress.com/
Jewish Task Force,General Hate,https://jtf.org/
Irving Books,Holocaust Denial,https://irvingbooks.com/xcart/home.php
Focal Point Publications,Holocaust Denial,https://irvingbooks.com
Hells Headbangers,Hate Music & Neo-Nazi,https://hellsheadbangers.bandcamp.com/
Free North Carolina,Neo-Confederate,https://freenorthcarolina.blogspot.com/
Florida Fire Eater,Neo-Confederate,https://floridafireeater.com/
Faith and Heritage,White Nationalist,https://faithandheritage.com/
Nation of Islam,Black Nationalist,https://etrigg.com/location/muhammad-mosque-3-4202-n-teutonia-ave-53209-milwaukee-united-states/2988321/
Citizens for National Security,Anti-Muslim,https://cfns.us/
Association for Appalachia,Neo-Confederate,https://appalachianrepublic.wordpress.com/
American Vanguard,White Nationalist,https://american-vanguard.org/
Yahushua DSCI Ministry,Christian Identity,http://www.yahushuadsciministry.us/
Word Congress of Families,Anti-LGBT,http://www.worldcongress.org
Windsor Hills Baptist Church (OK),Anti-LGBT,http://www.windorhills.org
Micetrap Distribution,Hate Music & Neo-Nazi,http://www.whitepride.com/
BUGS,White Nationalist,http://www.whitakeronline.org/blog/
www.whitakeronline.org,Hate Music & Neo-Nazi,http://www.whitakeronline.org
Washington Summit Publishers,White Nationalist,http://www.washsummit.com/
Virginia MassResistance (chapter),Anti-LGBT,http://www.virginiamassresistance.org
Verity Baptist Church,Anti-LGBT,http://www.veritybaptist.com
Virginia Christian Alliance,Anti-Muslim,http://www.vachristian.org/
Forza Nuova,White Nationalist,http://www.usa.forzanuova.info/
United Families International,Anti-LGBT,http://www.unitedfamilies.org
National Prayer Network,Christian Identity,http://www.truthtellers.org/
True Light Pentecost Church (SC),Anti-LGBT,http://www.truelightpentecost.org
Treasure Valley Refugee Watch,Anti-Muslim,http://www.treasurevalleyrefugeefacts.org/
Traditionalist Youth Network,White Nationalist,http://www.tradyouth.org/
Traditionalist Worker Party,White Nationalist,http://www.tradworker.org/
Tradition in Action,Rad Catholics,http://www.traditioninaction.org/
Traditional Values Coalition,Anti-LGBT,http://www.traditionalvalues.org
Truth in Love Project,Anti-Muslim,http://www.tilproject.com/
Third Reich Books,Hate Music & Neo-Nazi,http://www.third-reich-books.com/
United Klans of America,KKK,http://www.theuka.us/
"Straight Way and More, The",Anti-Muslim,http://www.thestraightway.org/
Social Contract Press,White Nationalist,http://www.thesocialcontract.com/
The Right Voice,Neo-Confederate,http://www.therightvoice.net/
The Political Cesspool,White Nationalist,http://www.thepoliticalcesspool.org/
www.thephora.net/forum/,Hate Music & Neo-Nazi,http://www.thephora.net/forum/
Occidental Observer,White Nationalist,http://www.theoccidentalobserver.net/
New Order,Hate Music & Neo-Nazi,http://www.theneworder.org/
All Eyes on Egipt Bookstore,Black Nationalist,http://www.thenationspeaks.org/
"Israelite Church of God in Jesus Christ, The",Black Nationalist,http://www.thecomforter.info/main/
The Christian Identity Forum,Christian Identity,http://www.thechristianidentityforum.net/
Power of Prophecy,General Hate,http://www.texemarrs.com/
Texas Rebel Knights,KKK,http://www.texasrebelknightskkk.com/
United White Knights of the Ku Kiux Klan,KKK,http://www.texaskkk.com/
Team America Political Action Committee,Anti-Muslim,http://www.teamamericapac.com/
TC Family (Traverse City; MI),Anti-LGBT,http://www.tcfamily.org
Tom Brown Ministries,Anti-LGBT,http://www.tbm.org
Stedfast Baptist Church (TX),Anti-LGBT,http://www.stedfastbaptistkjv.org
Stalhelm Records,Hate Music & Neo-Nazi,http://www.stahlhelmrecords.com/
Southern Agrarian,Neo-Confederate,http://www.southernagrarian.com/
Our Place Fellowship,Christian Identity,http://www.sonplace.com/Our_Place/
Stop the Islamization of the World,Anti-Muslim,http://www.siotw.org/
Silver Bullet Gun Oil,Anti-Muslim,http://www.silverbulletgunoil.net/
Scriptures for America Worldwide Ministries - international outreach ministry of the LaPorte Church of Christ,Christian Identity,http://www.scripturesforamerica.org/
Scott-Townsend Publishers,White Nationalist,http://www.scott-townsend.com/
Save California,Anti-LGBT,http://www.savecalifornia.com
Aryan Nation-Sadistic Souls Skinheads/Black & Silver Solution,Hate Music & Neo-Nazi,http://www.sadisticsoulsmc.org/
Ruth Institute,Anti-LGBT,http://www.ruthinstitute.org
Robert Sungenis,Rad Catholics,http://www.robertsungenis.org/
Righteous Jews,Holocaust Denial,http://www.righteousjews.org/
Virginia Publishing Company,Christian Identity,http://www.richardhoskins.com/
Campaign for Radical Truth in History,Holocaust Denial,http://www.revisionisthistory.org
Divine International Church of the Web,Christian Identity,http://www.revandrewangel.com/site/index.html
Resistance Records,Hate Music & Neo-Nazi,http://www.resistancerecords.com/
White Aryan Resistance,Hate Music & Neo-Nazi,http://www.resistance88.com/index1.htm#.Vv1YzJwrLIU
Resistance Records,Hate Music & Neo-Nazi,http://www.resistance.com/site/
White Aryan Resistance,Hate Music & Neo-Nazi,http://www.resist.com/
Reporter's notebook,Holocaust Denial,http://www.reportersnotebook.com/
Rense Radio Network,General Hate,http://www.renseradio.com/
Religious Awareness Network,Anti-Muslim,http://www.religiousfreedomcoalition.org/
MaineResistance (chapter of Mass Resistance),Anti-LGBT,http://www.reclaimvirtue.com
Radix,White Nationalist,http://www.radixjournal.com/
Stomp Out Child Abuse Compilation,Hate Music & Neo-Nazi,http://www.punishmentblockrecords.limitedrun.com/
Punishment Block Records,Hate Music & Neo-Nazi,http://www.punishmentblockrecords.limitedrun.com/
ProEnglish,Anti-Immigrant,http://www.proenglish.org
Probe Ministries,Anti-LGBT,http://www.probe.org
"Providence Road Baptist Church, NC",Anti-LGBT,http://www.prbcnc.com
"Pray in Jesus Name Project, the",Anti-LGBT,http://www.prayinjesusname.org
Nation of Islam,Black Nationalist,http://www.pghmosque22.org/
Center for Perpetual Diversity,White Nationalist,http://www.perpetualdiversity.com/
Pilgrims Covenant Church (WI),Anti-LGBT,http://www.pccmonroe.org
Parasitic Records,Hate Music & Neo-Nazi,http://www.parasiticrecords.bigcartel.com/
Pacific Justice Institute,Anti-LGBT,http://www.pacificjustice.org
OMNI Christian Book Club,Rad Catholics,http://www.omnicbc.com/
Occidental Dissent,Neo-Confederate,http://www.occidentaldissent.com/
Occidental Dissent,White Nationalist,http://www.occidentaldissent.com/
New Yorkers for Immigration Control and Enforcement,Anti-Immigrant,http://www.nyice.us
Nuclear War Now Productions,Hate Music & Neo-Nazi,http://www.nwnprod.com/forum/viewforum.php?f=2
Nuclear War Now Productions,Hate Music & Neo-Nazi,http://www.nwnprod.com/
National Socialist Movement,Hate Music & Neo-Nazi,http://www.nsm88.org/
NS88 Video Division,Hate Music & Neo-Nazi,http://www.ns88.com/
NPI,White Nationalist,http://www.npiamerica.org/
Nordic Order Knights,KKK,http://www.nok311.com/
Nation of Islam,Black Nationalist,http://www.noirockford.com/
Nation of Islam,Black Nationalist,http://www.noimosque32.com/
Nation of Islam,Black Nationalist,http://www.noigrandrapids.com/
Nation of Islam,Black Nationalist,http://www.noidetroit.org/
Nation of Islam,Black Nationalist,http://www.noidallas.org/
Nation of Islam,Black Nationalist,http://www.noicharlestonsc.org/
National Coalition for Immigration Reform,Anti-Immigrant,http://www.nciraction.org
New Black Panther Party,Black Nationalist,http://www.nbpp.org/
National Alliance Reform and Restoration Group,Hate Music & Neo-Nazi,http://www.narrg.com/
Most Holy Family Monastery,Rad Catholics,http://www.mostholyfamilymonastery.com/
Nation of Islam,Black Nationalist,http://www.mosque36.com/
Nation of Islam,Black Nationalist,http://www.mosque34.org/
Mission to Israel,Christian Identity,http://www.missiontoisrael.org/
Mission: America,Anti-LGBT,http://www.missionamerica.com
Micetrap Distribution,Hate Music & Neo-Nazi,http://www.micetrap.net/
Micetrap Distribution,Hate Music & Neo-Nazi,http://www.micetrap.info/
MassResistance Missouri (chapter),Anti-LGBT,http://www.massresistancemo.org
MassResistance,Anti-LGBT,http://www.massresistance.org
Liberty Counsel,Anti-LGBT,http://www.lc.org
Label 56,Hate Music & Neo-Nazi,http://www.label56.com/
Knights of the White Disciples,KKK,http://www.knightsofthewhitedisciples.com
Patriotic Brigade Knights of the Ku Klux Klan,KKK,http://www.knightskkk.net/
Loyal White Knights of the Ku Klux Klan,KKK,http://www.kkkknights.com/
Kingdom Identity Ministries,Christian Identity,http://www.kingidentity.com/
Jewish Defense League,General Hate,http://www.jdl.org/
Yahweh's Truth,Christian Identity,http://www.jameswickstrom.com/Blog/
Yahweh's Truth,Christian Identity,http://www.jameswickstrom.com/
Israelite School of Universal Practical Knowledge,Black Nationalist,http://www.isupk.org/
ISD Records,Hate Music & Neo-Nazi,http://www.isdrecords.com/
Iron Clad Records,Hate Music & Neo-Nazi,http://www.ironcladrecords.com/
Immigration Reform Law Institute,Anti-Immigrant,http://www.irli.org
Insight USA,General Hate,http://www.insightusa.us/
Inconvenient Truth,Holocaust Denial,http://www.inconvenienthistory.com
American Immigration Control Foundation,Anti-Immigrant,http://www.immigrationcontrol.com
Illinois Family Institute,Anti-LGBT,http://www.illinoisfamily.org
International Keystone Knights of the Ku Klux Klan,KKK,http://www.ikkkkk.org/
III% Security Force,Anti-Muslim,http://www.iiisecurityforce.com/
IHS Press,Rad Catholics,http://www.ihspress.com/index1.htm
David Horowitz Freedom Center,Anti-Muslim,http://www.horowitzfreedomcenter.org/
Hooligan Street Merch,Hate Music & Neo-Nazi,http://www.hooliganstreetmerch.com/
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Anti-LGBT,http://www.home60515.com
Hells Headbangers,Hate Music & Neo-Nazi,http://www.hellsheadbangers.com/
Hate Crime Streetwear/Records,Hate Music & Neo-Nazi,http://www.hcstreetwear.net/shop/
Legal Immigrants for America,Anti-Immigrant,http://www.golifa.org
Golden State Skinheads/Solidarity,Hate Music & Neo-Nazi,http://www.goldenstateskinheads.net/forum/
Golden State Skinheads/Solidarity,Hate Music & Neo-Nazi,http://www.goldenstateskinheads.net/
Westboro Baptist Church,Anti-LGBT,http://www.godhatesfags.com
Gilad Atzmon,Holocaust Denial,http://www.gilad.co.uk/
Get Some 88,Hate Music & Neo-Nazi,http://www.getsome88.com/
Generations with Vision (CO),Anti-LGBT,http://www.generationswithvision.com
The Free Magnolia,Neo-Confederate,http://www.freemagnolia.org/
Foundation for the Marketplace of Ideas,White Nationalist,http://www.freedomfront.org/
Family Research Council,Anti-LGBT,http://www.frc.org
Focal Point Publications,Holocaust Denial,http://www.fpp.co.uk/
Fortress of Faith,Anti-Muslim,http://www.fortressoffaith.org/
"Fatima Crusader, The/International Fatima Rosary Crusade",Rad Catholics,http://www.fatimacrusader.com/
Family Watch International,Anti-LGBT,http://www.familywatchinternational.org
Family Research Institute,Anti-LGBT,http://www.familyresearchinst.org
Faithful Word Baptist Church (AZ),Anti-LGBT,http://www.faithfulwordbaptist.org
Faith Freedom,Anti-Muslim,http://www.faithfreedom.org/
Federation for American Immigration Reform,Anti-Immigrant,http://www.fairus.org
Faith2Action,Anti-LGBT,http://www.f2a.org
Sicarii 1715,Black Nationalist,http://www.exodus1715.info/
East Coast Knights,KKK,http://www.eastcoastknightsofthetrueinvisibleempire.com/
European-American Evangelistic Crusades,General Hate,http://www.eaec.org/
D. James Kennedy Ministries,Anti-LGBT,http://www.djameskennedy.org
League of the South,Neo-Confederate,http://www.dixienet.org/
Deir Yassin Remembered,Holocaust Denial,http://www.deiryassin.org/
Abiding Truth Ministries,Anti-LGBT,http://www.defendthefamily.com
Christian Anti-Defamation Commission,General Hate,http://www.defendchristians.org/
Death Oracle Productions,Hate Music & Neo-Nazi,http://www.deathoracle.bigcartel.com/
Culture Wars/Fidelity Press,Rad Catholics,http://www.culturewars.com/
Cultural Studies Press,General Hate,http://www.culturalstudiespress.com/
Conservative Republicans of Texas,Anti-LGBT,http://www.crtpac.com
Crew38 & Hammerskin Nation forum,Hate Music & Neo-Nazi,http://www.crew38.com/forum38/forum.php
Covenant People's Ministry,Christian Identity,http://www.covenantpeoplesministry.org/
Counter-Currents,White Nationalist,http://www.counter-currents.com/
Pass the Salt Ministries,Anti-LGBT,http://www.coachdavelive.com
Church of the National Knights of the Ku Klux Klan,KKK,http://www.cnkkkk.net/
Clarion Project,Anti-Muslim,http://www.clarionproject.org/
Citizen Warrior,Anti-Muslim,http://www.citizenwarrior.com/
Center for Immigration Studies,Anti-Immigrant,http://www.cis.org
Church of Israel,Christian Identity,http://www.churchofisrael.org/
Chick Publications,General Hate,http://www.chick.com/
Stomp Out Child Abuse Compilation,Hate Music & Neo-Nazi,http://www.chesterstomp.com/store.html
Chalcedon Foundation,Anti-LGBT,http://www.chalcedon.edu
"Catholic Family News/Catholic Family Ministries, Inc.",Rad Catholics,http://www.cfnews.org/
Citizens for Community Values,Anti-LGBT,http://www.ccv.org
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,General Hate,http://www.ccfiile.com/
Catholic Counterpoint,Rad Catholics,http://www.catholiccounterpoint.com/
Californians for Population Stabilization,Anti-Immigrant,http://www.capsweb.org
Colorado Alliance for Immigration Reform,Anti-Immigrant,http://www.cairco.org
Center for Family and Human Rights (C-Fam),Anti-LGBT,http://www.c-fam.org
American Defense Records,Hate Music & Neo-Nazi,http://www.bulldogaggression.com/
"Campus Ministry, USA, The",Anti-LGBT,http://www.brojed.org
Borderkeepers of Alabama,Anti-Immigrant,http://www.borderkeepersofalabama.org
Bomb Islam,Anti-Muslim,http://www.bombislam.com/
Radio Jihad/Global Patriot Radio,Anti-Muslim,http://www.blogtalkradio.com/global-patriot-radio
Bare Naked Islam,Anti-Muslim,http://www.barenakedislam.com/
Battalion 14,Hate Music & Neo-Nazi,http://www.b14usa.org/
www.awsnetwork.org,Hate Music & Neo-Nazi,http://www.awsnetwork.org
ATLAH World Missionary Church,Anti-LGBT,http://www.atlah.org
Aryan Terror Brigade,Hate Music & Neo-Nazi,http://www.atb318.com/
Aryan Strikeforce,Hate Music & Neo-Nazi,http://www.aryanstrikeforce318.org/
www.aryanblood.net/,Hate Music & Neo-Nazi,http://www.aryanblood.net/
Aryan Nations - Louisiana,Hate Music & Neo-Nazi,http://www.aryan-nations.org/
www.aryan-nation.org/forum/,Hate Music & Neo-Nazi,http://www.aryan-nation.org/forum/
www.aryan-nation.org/,Hate Music & Neo-Nazi,http://www.aryan-nation.org/
Antipathy Records,Hate Music & Neo-Nazi,http://www.antipathyrecords.com/
United Riot Records,Hate Music & Neo-Nazi,http://www.angelfire.com/indie/unitedriotrecords/frameset.html
American Renaissance,White Nationalist,http://www.amren.com/
America's Promise Ministries,Christian Identity,http://www.americaspromiseministries.org/
American Vision,Anti-LGBT,http://www.americanvision.org
Americans for Truth about Homosexuality,Anti-LGBT,http://www.americansfortruth.com
American Nazi Party,Hate Music & Neo-Nazi,http://www.americannaziparty.com/
American Freedom Law Center,Anti-Muslim,http://www.americanfreedomlawcenter.org/
American Freedom Alliance,Anti-Muslim,http://www.americanfreedomalliance.org/
American Constitution Center,Anti-Muslim,http://www.americanconstitutioncenter.org/
American Clarion,General Hate,http://www.americanclarion.com/
American Border Patrol,Anti-Immigrant,http://www.americanborderpatrol.com
Altra Firearms,Anti-Muslim,http://www.altrafirearms.com/
All Eyes On Egipt Bookstore,Black Nationalist,http://www.alleyesonegiptchgo.webs.com/
Americans for Legal Immigration (ALIPAC),Anti-Immigrant,http://www.alipac.us
Tony Alamo Christian Ministries,General Hate,http://www.alamoministries.com/content/english/
Aggressive Christianity,General Hate,http://www.aggressivechristianity.net/
American Family Association Pennsylvania,Anti-LGBT,http://www.afaofpa.org
American Family Association,Anti-LGBT,http://www.afa.net
All Eyes On Egypt Bookstore,Black Nationalist,http://www.aeoebookstore.com/
Alliance Defending Freedom,Anti-LGBT,http://www.adflegal.org
Foundation for Advancing Christian Truth,Anti-Muslim,http://www.acts17.net/
ACT for America,Anti-Muslim,http://www.actforamerica.org/
American College of Pediatricians,Anti-LGBT,http://www.acpeds.org
a2z Publications,General Hate,http://www.a2zpublications.com/
whitereference.blogspot.hu/,Hate Music & Neo-Nazi,http://whitereference.blogspot.hu/
whiterabbitradio.net/,Hate Music & Neo-Nazi,http://whiterabbitradio.net/
White Rabbit Radio,White Nationalist,http://whiterabbitradio.net/
whitenations.com/,Hate Music & Neo-Nazi,http://whitenations.com/
whitenationalists.com/,Hate Music & Neo-Nazi,http://whitenationalists.com/
Werewolf 88,Hate Music & Neo-Nazi,http://werwolf88radio.blogspot.com/
War On The Horizon,Black Nationalist,http://waronthehorizon.com/
Vinland Clothing,Hate Music & Neo-Nazi,http://vinlandclothing.com/
Reformation-Bible Puritan-Baptist Church/Vatican Assassins,General Hate,http://vaticanassassins.org/
Vanguard Productions,Hate Music & Neo-Nazi,http://vanguard-productions.com/home/
United Northern and Southern Knights of the Ku Klux Klan,KKK,http://unskkkk.com/
United Riot Records,Hate Music & Neo-Nazi,http://unitedriotrecords.blogspot.com/
United Riot Records,Hate Music & Neo-Nazi,http://unitedriotrecords.bigcartel.com/
Understanding the Threat,Anti-Muslim,http://understandingthethreat.com/
Uncle Sams Misguided Children,Black Nationalist,http://unclesamsmisguidedchildren.com/
Truth Will Out Films,Holocaust Denial,http://truthwillout.tv/
National Prayer Network,General Hate,http://truthtellers.org/index.html
Traditionalist American Knights of the Ku Klux Klan,KKK,http://traditionalistamericanknights.com/
Tightrope Records,Hate Music & Neo-Nazi,http://tightrope.cc/catalog/
The Watchman files,Christian Identity,http://thewatermanfiles.com/
"United West, The",Anti-Muslim,http://theunitedwest.org/
The Right Stuff,White Nationalist,http://therightstuff.biz/
The Realist Report,Holocaust Denial,http://therealistreport.com/
Supreme White Alliance,Hate Music & Neo-Nazi,http://swa43.com/forum/index.php
Supreme White Alliance,Hate Music & Neo-Nazi,http://swa43.com/
Sultan Knish a blog by Daniel Greenfield,Anti-Muslim,http://sultanknish.blogspot.com/
Invictus Books,General Hate,http://stores.invictusbooks.com/
Nation Of Islam,Black Nationalist,http://stocktonnoi.wix.com/info#!__stockton---nation-of-islam/contact
Stalhelm Records,Hate Music & Neo-Nazi,http://stahlhelmrecords.tumblr.com/
Soldiers Of the Cross Training Institute,KKK,http://sotctraininginstitute.com
Holy Nation of Odin,General Hate,http://sonsofodin1519.org/
Sons of Liberty Media (formerly You Can Run But You Cannot Hide),General Hate,http://sonsoflibertymedia.com/
Nation of Islam,Black Nationalist,http://shondelenterprise.wix.com/mosque-97#!contact
Sharkhunters International,General Hate,http://sharkhunters.com/
Secure Michigan,Anti-Muslim,http://securemichigan.org/
Christogenea,Christian Identity,http://saxonmessenger.christogenea.org/about
As-Sabiqun,General Hate,http://sabiqun.org/
"Remnant, The/The Remnant Press",Rad Catholics,http://remnantnewspaper.com/web/index.php
Refugee Resettlement Watch,Anti-Muslim,http://refugeeresettlementwatch.wordpress.com/
Rebel Brigade Knights of the Ku Klux Klan,KKK,http://rebelbrigadeknightstrueinvisibleempire.yolasite.com
Micetrap Distribution,Hate Music & Neo-Nazi,http://radiowhite.net/
Ozark Craft LC,General Hate,http://puttroopsontheborder.com/ozarkcraft.html
Pig Blood Bullets,Anti-Muslim,http://pigbloodbullets.com/
Parasitic Records,Hate Music & Neo-Nazi,http://parasiticrecords.blogspot.com/
American Freedom Defense Initiative,Anti-Muslim,http://pamelageller.com/
OSI Temple,Hate Music & Neo-Nazi,http://osi-temple.blogspot.com/
Darkness Attacks Records,Hate Music & Neo-Nazi,http://officialblackwitchery.bigcartel.com/
NS Publications,Hate Music & Neo-Nazi,http://nspublications.com/
NSM88 Records,Hate Music & Neo-Nazi,http://nsm88records.com/theshop/
Northwest Front,White Nationalist,http://northwestfront.org/
Nation of Islam,Black Nationalist,http://noiwinstonsalem.wixsite.com/wsstudygroup/services
Nation of Islam,Black Nationalist,http://noiwinstonsalem.wixsite.com/wsstudygroup/about2
Nation of Islam,Black Nationalist,http://noirochester.org/
Nation of Islam,Black Nationalist,http://noidc.org/
Nation of Islam,Black Nationalist,http://noicolumbus.org/
Nation of Islam,Black Nationalist,http://noibuffalo.org/
Nation of Islam,Black Nationalist,http://noiatlanta.org/
Christ Assembly,Christian Identity,http://newensign.christsassembly.com/
Never Surrender Records,Hate Music & Neo-Nazi,http://neversurrenderrecords.com/
Keystone United/Keystone State Skinheads,Hate Music & Neo-Nazi,http://myforum.kss2001.com/
Nation of Islam,Black Nationalist,http://muhammadstemple12.faithweb.com/
Nation of Islam,Black Nationalist,http://muhammadmosque8.com/
Nation of Islam,Black Nationalist,http://muhammadmosque69.blogspot.com/
Nation of Islam,Black Nationalist,http://muhammadmosque24.webs.com/
MSR Productions,Hate Music & Neo-Nazi,http://msrproductions.com/
Nation of Islam,Black Nationalist,http://mosque74.org/
Nation of Islam,Black Nationalist,http://mm29.org/
Christogenea,Christian Identity,http://mk.christogenea.org/
Mississippi White Kngihts,KKK,http://mississippiwhiteknights.com/firstpage.htm
Parasitic Records,Hate Music & Neo-Nazi,http://midnightbloodentertainment.blogspot.com/
Maryland National Socialist Party,Hate Music & Neo-Nazi,http://mdnaziparty.blogspot.com/
Loyal White Knights of the Ku Klux Klan,KKK,http://loyalwhiteknights.com/
Bill Keller Ministries,General Hate,http://liveprayer.com/index.cfm
Lincoln County Citizen Action Network,Anti-Muslim,http://lincolncountycan.com/
League of the South,Neo-Confederate,http://leagueofthesouth.com/
Ku Klos Knights of the Ku Klux Klan,KKK,http://kuklosknights.com/
White Pride Radio,KKK,http://kkkradio.com/
Knights of the KKK,KKK,http://kkk.bz/
Kinsman Redeemer Ministries,Christian Identity,http://kinsmanredeemer.com/
Kentucky League of the South,Neo-Confederate,http://kentuckyleagueofthesouth.webs.com/
Israel United In Christ,Black Nationalist,http://israelunite.org/
In the Spirit of Chartres Committee,Rad Catholics,http://isoc.ws/
Islamthreat.com,Anti-Muslim,http://islamthreat.com/
Institute for Historical Review,Holocaust Denial,http://ihr.org/
IHM Media,Rad Catholics,http://ihmmedia.net/
H.L. Mencken Club,White Nationalist,http://hlmenckenclub.org/
Heathens Motorcycle Club,Hate Music & Neo-Nazi,http://heathensmf.com/
Crew38 & Hammerskin Nation website,Hate Music & Neo-Nazi,http://hammerskins.net/
Great Lakes Knights,KKK,http://greatlakesknights.my-free.website/
Germar Rudolf,Holocaust Denial,http://germarrudolf.com
Florida League of the South,Neo-Confederate,http://freeflorida.org/
Florida United,Hate Music & Neo-Nazi,http://floridaunited.weebly.com/
Fellowship of God's Covenant People,Christian Identity,http://fgcp.org/
Bosch Fawstin,Anti-Muslim,http://fawstin.blogspot.com/
"Faith Baptist Church, Greenville, GA",Anti-LGBT,http://faithbaptistchurchprimrose.com
Faith And Heritage,Neo-Confederate,http://faithandheritage.com/
Euro Folk Radio,Christian Identity,http://eurofolkradio.com/
Non-Universal Teaching Ministries,Christian Identity,http://emahiser.christogenea.org/
Heritage and Destiny,White Nationalist,http://efp.org.uk/
Yahweh's Truth,Christian Identity,http://doctorjamespwickstrom.blogspot.com/
Dixie Republic,Neo-Confederate,http://dixierepublic.com/
Dixie Outfitters,Neo-Confederate,http://dixieoutfitters.com/pages/blog/category/news/interesting-email/
Divine Truth Ministries,Christian Identity,http://divine-truth.org/
Desastrious Records,Hate Music & Neo-Nazi,http://desastrious.blogspot.com/
Deir Yassin Remembered,Holocaust Denial,http://deiryassinuk.webeden.co.uk/
David James Boston,Christian Identity,http://davidjamesboston.com/Home/
